127.0.0.1 - - [14/Jan/2018:10:10:48 +0000] "GET /help HTTP/1.1" 200 29444 "" "curl/7.56.1"
172.19.0.1 - - [14/Jan/2018:10:11:09 +0000] "GET /users/password/edit?reset_password_token=Jz_6NrXeJ_RwCoASg47_ HTTP/1.1" 302 113 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:11:12 +0000] "GET /users/password/new?user_email= HTTP/1.1" 200 3217 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:11:16 +0000] "GET / HTTP/1.1" 302 96 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:11:17 +0000] "GET /users/sign_in HTTP/1.1" 302 144 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:11:17 +0000] "GET /users/password/edit?reset_password_token=yAdGDvssCPnRYCLU3LYd HTTP/1.1" 200 3360 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:11:33 +0000] "POST /users/password HTTP/1.1" 302 96 "http://127.0.0.1/users/password/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:11:33 +0000] "GET /users/sign_in HTTP/1.1" 200 4062 "http://127.0.0.1/users/password/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:11:39 +0000] "GET / HTTP/1.1" 302 96 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:11:39 +0000] "GET /users/sign_in HTTP/1.1" 200 3999 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
127.0.0.1 - - [14/Jan/2018:10:11:48 +0000] "GET /help HTTP/1.1" 200 29444 "" "curl/7.56.1"
172.19.0.1 - - [14/Jan/2018:10:16:29 +0000] "GET / HTTP/1.1" 502 2916 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:16:29 +0000] "GET /favicon.ico HTTP/1.1" 200 5430 "http://127.0.0.1/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:16:30 +0000] "GET / HTTP/1.1" 502 2916 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:16:30 +0000] "GET /favicon.ico HTTP/1.1" 200 5430 "http://127.0.0.1/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:16:30 +0000] "GET / HTTP/1.1" 502 2916 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:16:30 +0000] "GET /favicon.ico HTTP/1.1" 200 5430 "http://127.0.0.1/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:16:30 +0000] "GET / HTTP/1.1" 502 2916 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:16:30 +0000] "GET /favicon.ico HTTP/1.1" 200 5430 "http://127.0.0.1/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:16:30 +0000] "GET / HTTP/1.1" 502 2916 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:16:30 +0000] "GET /favicon.ico HTTP/1.1" 200 5430 "http://127.0.0.1/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
127.0.0.1 - - [14/Jan/2018:10:16:41 +0000] "GET /help HTTP/1.1" 502 2916 "" "curl/7.56.1"
172.19.0.1 - - [14/Jan/2018:10:16:55 +0000] "GET / HTTP/1.1" 502 2916 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:16:55 +0000] "GET /favicon.ico HTTP/1.1" 200 5430 "http://127.0.0.1/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
172.19.0.1 - - [14/Jan/2018:10:16:55 +0000] "GET / HTTP/1.1" 502 2916 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
